Name,IP/Subnet,StartIP,EndIP,ip2longStart,ip2longStop
not describe,10.189.0.0/16,10.189.0.0,10.189.255.255,180158464,180223999
(แบ่ง VLSM),10.190.0.0/16,10.190.0.0,10.190.255.255,180224000,180289535
โรงพยาบาลสัตว์เล็ก,10.190.0.0/20,10.190.0.0,10.190.15.255,180224000,180228095
หอนิทรรศการศิลปวัฒนธรรม,10.190.16.0/20,10.190.16.0,10.190.31.255,180228096,180232191
อาคารจอดรถทิศใต้ S1,10.190.32.0/20,10.190.32.0,10.190.47.255,180232192,180236287
ขนส่งมวลชล มหาวิทยาลัยเชียงใหม่,10.190.48.0/20,10.190.48.0,10.190.63.255,180236288,180240383
สถาบันวิจัยวิทยาศาสตร์สุขภาพ สวนสัก,10.190.64.0/20,10.190.64.0,10.190.79.255,180240384,180244479
โรงเรียนสาธิต มช.,10.190.80.0/20,10.190.80.0,10.190.95.255,180244480,180248575
not describe,10.190.96.0/19,10.190.96.0,10.190.127.255,180248576,180256767
not describe,10.190.128.0/17,10.190.128.0,10.190.255.255,180256768,180289535
not describe,10.191.0.0/17,10.191.0.0,10.191.127.255,180289536,180322303
Reserved IP Point-to-Point,10.191.255.0/24,10.191.255.0,10.191.255.255,180354816,180355071
cnoc,10.199.0.0/16,10.199.0.0,10.199.255.255,180813824,180879359
VPN,10.200.0.0/16,10.200.0.0,10.200.255.255,180879360,180944895
คณะอุตสาหกรรมเกษตร,10.208.0.0/16,10.208.0.0,10.208.255.255,181403648,181469183
คณะสัตวแพทย์,10.209.0.0/16,10.209.0.0,10.209.255.255,181469184,181534719
สถาบันวิจัยและพัฒนาพลังงานนครพิงค์,10.210.0.0/16,10.210.0.0,10.210.255.255,181534720,181600255
อุทยานวิทยาศาสตร์,10.211.0.0/16,10.211.0.0,10.211.255.255,181600256,181665791
not describe,10.212.0.0/16,10.212.0.0,10.212.255.255,181665792,181731327
not describe,10.213.0.0/16,10.213.0.0,10.213.255.255,181731328,181796863
not describe,10.214.0.0/16,10.214.0.0,10.214.255.255,181796864,181862399
not describe,10.215.0.0/16,10.215.0.0,10.215.255.255,181862400,181927935
not describe,10.216.0.0/16,10.216.0.0,10.216.255.255,181927936,181993471
not describe,10.217.0.0/16,10.217.0.0,10.217.255.255,181993472,182059007
not describe,10.218.0.0/16,10.218.0.0,10.218.255.255,182059008,182124543
not describe,10.219.0.0/16,10.219.0.0,10.219.255.255,182124544,182190079
not describe,10.220.0.0/16,10.220.0.0,10.220.255.255,182190080,182255615
not describe,10.221.0.0/16,10.221.0.0,10.221.255.255,182255616,182321151
(แบ่ง VLSM),10.222.0.0/16,10.222.0.0,10.222.255.255,182321152,182386687
หอพักในกำกับแม่เหียะ,10.222.0.0/20,10.222.0.0,10.222.15.255,182321152,182325247
ศูนย์สัตว์ทดลอง,10.222.16.0/20,10.222.16.0,10.222.31.255,182325248,182329343
โรงขยะ,10.222.32.0/20,10.222.32.0,10.222.47.255,182329344,182333439
สถานีตรรวจอากาศ,10.222.48.0/20,10.222.48.0,10.222.63.255,182333440,182337535
not describe,10.222.64.0/18,10.222.64.0,10.222.127.255,182337536,182353919
not describe,10.222.128.0/17,10.222.128.0,10.222.255.255,182353920,182386687
not describe,10.223.0.0/17,10.223.0.0,10.223.127.255,182386688,182419455
Reserved IP Point-to-Point,10.223.255.0/24,10.223.255.0,10.223.255.255,182451968,182452223
Last Public IP CMU,192.203.247.0/24,192.203.247.0,192.203.247.255,3234592512,3234592767
CMU Public IP,202.28.0.0/16,202.28.0.0,202.28.255.255,3390832640,3390898175
